Q vs \~Q X,Q vs \~Q Y,\~Q vs Q X,\~Q vs Q Y
0.8999992637350721,0,0,0.8999992637350721
0.8999990930804814,0.02,0.02,0.8999990930804814
0.89999879038585,0.04,0.04,0.89999879038585
0.8999982402972415,0.06,0.06,0.8999982402972415
0.8999972264045093,0.08,0.08,0.8999972264045093
0.8999953329695385,0.1,0.1,0.8999953329695385
0.8999917571668054,0.12,0.12,0.8999917571668054
0.8999849359368799,0.14,0.14,0.8999849359368799
0.8999718043423953,0.16,0.16,0.8999718043423953
0.899946310270577,0.18,0.18,0.899946310270577
0.8998964221730339,0.2,0.2,0.8998964221730339
0.8997980622187756,0.22,0.22,0.8997980622187756
0.8996027044484746,0.24,0.24,0.8996027044484746
0.8992116819417966,0.26,0.26,0.8992116819417966
0.8984215717140681,0.28,0.28,0.8984215717140681
0.8968018360436233,0.3,0.3,0.8968018360436233
0.893389974422839,0.32,0.32,0.893389974422839
0.885680148571186,0.34,0.34,0.885680148571186
0.8653291710506473,0.36,0.36,0.8653291710506473
0.8045644062752183,0.3800000000000001,0.3800000000000001,0.8045644062752183
0.6878146785874479,0.4000000000000001,0.4000000000000001,0.6878146785874479
0.5398351325303096,0.4200000000000001,0.4200000000000001,0.5398351325303096
0.4552318370018443,0.4400000000000001,0.4400000000000001,0.4552318370018443
0.4165941149307649,0.4600000000000001,0.4600000000000001,0.4165941149307649
0.3913180701793164,0.4800000000000001,0.4800000000000001,0.3913180701793164
0.3714920558091859,0.5000000000000001,0.5000000000000001,0.3714920558091859
0.3544022251997367,0.5200000000000001,0.5200000000000001,0.3544022251997367
0.3387300702984996,0.5400000000000001,0.5400000000000001,0.3387300702984996
0.3238692555335194,0.5600000000000002,0.5600000000000002,0.3238692555335194
0.309522878793605,0.5800000000000002,0.5800000000000002,0.309522878793605
0.2955677895877636,0.6000000000000002,0.6000000000000002,0.2955677895877636
0.2819829693614148,0.6200000000000002,0.6200000000000002,0.2819829693614148
0.2688081293811851,0.6400000000000002,0.6400000000000002,0.2688081293811851
0.2561162401369708,0.6600000000000003,0.6600000000000003,0.2561162401369708
0.2439919468832994,0.6800000000000003,0.6800000000000003,0.2439919468832994
0.2325133348466539,0.7000000000000003,0.7000000000000003,0.2325133348466539
0.2217370147930136,0.7200000000000003,0.7200000000000003,0.2217370147930136
0.2116924971826142,0.7400000000000003,0.7400000000000003,0.2116924971826142
0.2023819068472964,0.7600000000000003,0.7600000000000003,0.2023819068472964
0.1937854995093354,0.7800000000000004,0.7800000000000004,0.1937854995093354
0.1858684560472213,0.8000000000000004,0.8000000000000004,0.1858684560472213
0.1785869952550118,0.8200000000000004,0.8200000000000004,0.1785869952550118
0.1718930604566246,0.8400000000000004,0.8400000000000004,0.1718930604566246
0.1657375984992094,0.8600000000000004,0.8600000000000004,0.1657375984992094
0.1600727064941672,0.8800000000000004,0.8800000000000004,0.1600727064941672
0.154852943044463,0.9,0.9,0.154852943044463
