Q vs \~Q X,Q vs \~Q Y,\~Q vs Q X,\~Q vs Q Y
0.8999992847272344,0,0,0.8999992847272344
0.8999991156226748,0.02,0.02,0.8999991156226748
0.8999988147337113,0.04,0.04,0.8999988147337113
0.8999982667618277,0.06,0.06,0.8999982667618277
0.8999972553669746,0.08,0.08,0.8999972553669746
0.8999953649007425,0.1,0.1,0.8999953649007425
0.8999917926536634,0.12,0.12,0.8999917926536634
0.899984975718315,0.14,0.14,0.899984975718315
0.8999718493592901,0.16,0.16,0.8999718493592901
0.899946361736762,0.18,0.18,0.899946361736762
0.8998964816792006,0.2,0.2,0.8998964816792006
0.8997981318908278,0.22,0.22,0.8997981318908278
0.8996027872027195,0.24,0.24,0.8996027872027195
0.8992117819292473,0.26,0.26,0.8992117819292473
0.898421695178577,0.28,0.28,0.898421695178577
0.8968019932190214,0.3,0.3,0.8968019932190214
0.8933901845381009,0.32,0.32,0.8933901845381009
0.8856804581742258,0.34,0.34,0.8856804581742258
0.865329717744713,0.36,0.36,0.865329717744713
0.8045645557960358,0.3800000000000001,0.3800000000000001,0.8045645557960358
0.6877490412155753,0.4000000000000001,0.4000000000000001,0.6877490412155753
0.5301793421122786,0.4200000000000001,0.4200000000000001,0.5301793421122786
0.3539729017936352,0.4400000000000001,0.4400000000000001,0.3539729017936352
0.185811729652076,0.4600000000000001,0.4600000000000001,0.185811729652076
0.07872134044665272,0.4800000000000001,0.4800000000000001,0.07872134044665272
0.03561153999794858,0.5000000000000001,0.5000000000000001,0.03561153999794858
0.01706370199363905,0.5200000000000001,0.5200000000000001,0.01706370199363905
0.008394857455530211,0.5400000000000001,0.5400000000000001,0.008394857455530211
0.004193089846261135,0.5600000000000002,0.5600000000000002,0.004193089846261135
0.002115232226579267,0.5800000000000002,0.5800000000000002,0.002115232226579267
0.00107924860007078,0.6000000000000002,0.6000000000000002,0.00107924860007078
0.0005558659671504396,0.6200000000000002,0.6200000000000002,0.0005558659671504396
0.0002891841706430547,0.6400000000000002,0.6400000000000002,0.0002891841706430547
0.0001520707600947897,0.6600000000000003,0.6600000000000003,0.0001520707600947897
8.090099670798294e-05,0.6800000000000003,0.6800000000000003,8.090099670798294e-05
4.359270139497085e-05,0.7000000000000003,0.7000000000000003,4.359270139497085e-05
2.383674071289589e-05,0.7200000000000003,0.7200000000000003,2.383674071289589e-05
1.326893984907903e-05,0.7400000000000003,0.7400000000000003,1.326893984907903e-05
7.559311669208252e-06,0.7600000000000003,0.7600000000000003,7.559311669208252e-06
4.444373378658345e-06,0.7800000000000004,0.7800000000000004,4.444373378658345e-06
2.729275265552867e-06,0.8000000000000004,0.8000000000000004,2.729275265552867e-06
1.776675842328097e-06,0.8200000000000004,0.8200000000000004,1.776675842328097e-06
1.243664839653672e-06,0.8400000000000004,0.8400000000000004,1.243664839653672e-06
9.437285990951852e-07,0.8600000000000004,0.8600000000000004,9.437285990951852e-07
7.746210735376352e-07,0.8800000000000004,0.8800000000000004,7.746210735376352e-07
6.789543913699837e-07,0.9,0.9,6.789543913699837e-07
